序号,UID,测试名称,指标名称,函数,维度,错误信息,分类,状态
1,7768a62122a8328b,testMetricFunctionDimension,one.rum.net.request.apdex,frm,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, userGroupId",指标 [one.rum.net.request.apdex] 支持函数 [frm]，但执行失败: SQL执行失败: 【one.query.rum.net.requestNum】 dimension [requestType] not exist,Product defects,failed
2,368bdcae7a15428d,testMetricFunctionDimension,one.rum.net.request.dns,avg,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.dns] 支持函数 [avg]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
3,dde75f3481d537c8,testMetricFunctionDimension,one.rum.net.request.request,avg,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.request] 支持函数 [avg]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
4,c3bd42e5eeb83d7c,testMetricFunctionDimension,one.rum.net.request.ssl,avg,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.ssl] 支持函数 [avg]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
5,ccd6b4700b01054c,testMetricFunctionDimension,one.rum.net.request.tcp,avg,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.tcp] 支持函数 [avg]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
6,55426d59fb3b0e3c,testMetricFunctionDimension,one.rum.net.request.errorRatio,frm,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.errorRatio] 支持函数 [frm]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
7,c9af5ad612f132a1,testMetricFunctionDimension,one.rum.net.request.errorSessionCount,uniqTheta,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.errorSessionCount] 支持函数 [uniqTheta]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
8,f03422118345eb32,testMetricFunctionDimension,one.rum.net.request.errorUserCount,uniqTheta,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.errorUserCount] 支持函数 [uniqTheta]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
9,6727a7b289afc5fe,testMetricFunctionDimension,one.rum.net.request.satisfyingCount,sum,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.satisfyingCount] 支持函数 [sum]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
10,fcd0116c47ef0c4b,testMetricFunctionDimension,one.rum.net.request.errorCount,sum,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.errorCount] 支持函数 [sum]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
11,5c217b57c755f2fb,testMetricFunctionDimension,one.rum.net.request.downLoadTime,avg,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.downLoadTime] 支持函数 [avg]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
12,f65556e818eb3df5,testMetricFunctionDimension,one.rum.net.request.slowCount,sum,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.slowCount] 支持函数 [sum]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
13,772fe4331bd3737c,testMetricFunctionDimension,one.rum.net.request.slowSessionCount,uniqTheta,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.slowSessionCount] 支持函数 [uniqTheta]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
14,38382ad19474be3f,testMetricFunctionDimension,one.rum.net.request.slowUserCount,uniqTheta,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.slowUserCount] 支持函数 [uniqTheta]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
15,810b8899b8768408,testMetricFunctionDimension,one.rum.net.request.slowRatio,frm,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.slowRatio] 支持函数 [frm]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
16,a64e630063544535,testMetricFunctionDimension,one.rum.net.request.errorCountPerMinute,frm,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.errorCountPerMinute] 支持函数 [frm]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
17,8391a8887c0c046a,testMetricFunctionDimension,one.rum.net.request.throughput,frm,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.throughput] 支持函数 [frm]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
18,ed357ae04c79bb7a,testMetricFunctionDimension,one.rum.net.request.downloadSize,avg,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.downloadSize] 支持函数 [avg]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
19,8bd775da5f7883da,testMetricFunctionDimension,one.rum.net.request.totalTime,avg,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.totalTime] 支持函数 [avg]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
20,17f77ffbe2274954,testMetricFunctionDimension,one.rum.net.request.downLoadSpeed,frm,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.downLoadSpeed] 支持函数 [frm]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
21,5cf47960bca6fe3e,testMetricFunctionDimension,one.rum.net.request.serviceCount,uniqTheta,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.serviceCount] 支持函数 [uniqTheta]，但执行失败: SQL执行失败: 【one.query.rum376514980.rum.net.accessNum】 dimension [requestType] not exist,Product defects,failed
22,313709e753a962d5,testMetricFunctionDimension,one.rum.net.request.domainCount,uniqTheta,"accessModelId, appId, appType, appVersion, cdnName, channel, cityId, countryId, dataCenterId, dataSource, districtId, domain, envId, metaType, moduleName, netserviceId, pageId, pageName, requestErrorMsg, requestErrorType, requestId, requestMethod, requestName, requestProtocolType, requestSource, requestStatus, requestStatusCode, requestType, sdkVersion, serviceDetectedName, subModuleName, url, userGroupId",指标 [one.rum.net.request.domainCount] 支持函数 [uniqTheta]，但执行失败: SQL执行失败: 【one.rum.net.businessRequest.Count】 dimension [requestType] not exist,Product defects,failed
23,43b7b143d9a3cca3,testMetricFunctionDimension,one.rum.page.mpView.onReady,min,"appId, appType, appVersion, channel, clientOsName, dataCenterId, dataSource, envId, moduleName, pageId, pageName, sdkVersion, subModuleName, userGroupId","指标 [one.rum.page.mpView.onReady] 支持函数 [min]，但执行失败: SQL执行失败: query error code: 47, message: Missing columns: 'on_ready_time_min' while processing: 'SELECT toInt64OrNull(toString(app_id)) AS appId, toInt8OrNull(toString(app_type)) AS appType, toNullable(toString(app_version)) AS appVersion, toNullable(toString(channel)) AS channel, toNullable(toString(client_os_name)) AS clientOsName, toInt64OrNull(toString(data_center_id)) AS dataCenterId, toNullable(toString(data_source)) AS dataSource, toNullable(toString(env_id)) AS envId, toFloat64(minOrNullMerge(on_ready_time_min)) AS m, toNullable(toString(module_name)) AS moduleName, toInt64OrNull(toString(page_id)) AS pageId, toNullable(toString(page_name)) AS pageName, toNullable(toString(sdk_version)) AS sdkVersion, toNullable(toString(sub_module_name)) AS subModuleName, toInt64OrNull(toString(user_group_id)) AS userGroupId FROM one_rum_datasource_gran.t_rum_mpview_hour_distributed WHERE ((account_id = 4) AND (env_id = 'default')) AND ((monitor_time >= '2026-03-03 00:00:00') AND (monitor_time < '2026-03-04 00:00:00')) GROUP BY appId, appType, appVersion, channel, clientOsName, dataCenterId, dataSource, envId, moduleName, pageId, pageName, sdkVersion, subModuleName, userGroupId', required columns: 'env_id' 'monitor_time' 'account_id' 'app_type' 'module_name' 'on_ready_time_min' 'app_id' 'data_source' 'client_os_name' 'app_version' 'sub_module_name' 'page_name' 'page_id' 'channel' 'data_center_id' 'sdk_version' 'user_group_id', maybe you meant: 'env_id', 'monitor_time', 'account_id', 'app_type', 'module_name', 'on_ready_time', 'app_id', 'data_source', 'client_os_name', 'app_version', 'sub_module_name', 'page_name', 'page_id', 'channel', 'data_center_id', 'sdk_version' or 'user_group_id'",Product defects,failed
24,329e5e3b65718b6d,testMetricFunctionDimension,one.rum.page.mpView.onReady,max,"appId, appType, appVersion, channel, clientOsName, dataCenterId, dataSource, envId, moduleName, pageId, pageName, sdkVersion, subModuleName, userGroupId","指标 [one.rum.page.mpView.onReady] 支持函数 [max]，但执行失败: SQL执行失败: query error code: 47, message: Missing columns: 'on_ready_time_max' while processing: 'SELECT toInt64OrNull(toString(app_id)) AS appId, toInt8OrNull(toString(app_type)) AS appType, toNullable(toString(app_version)) AS appVersion, toNullable(toString(channel)) AS channel, toNullable(toString(client_os_name)) AS clientOsName, toInt64OrNull(toString(data_center_id)) AS dataCenterId, toNullable(toString(data_source)) AS dataSource, toNullable(toString(env_id)) AS envId, toFloat64(maxOrNullMerge(on_ready_time_max)) AS m, toNullable(toString(module_name)) AS moduleName, toInt64OrNull(toString(page_id)) AS pageId, toNullable(toString(page_name)) AS pageName, toNullable(toString(sdk_version)) AS sdkVersion, toNullable(toString(sub_module_name)) AS subModuleName, toInt64OrNull(toString(user_group_id)) AS userGroupId FROM one_rum_datasource_gran.t_rum_mpview_hour_distributed WHERE ((account_id = 4) AND (env_id = 'default')) AND ((monitor_time >= '2026-03-03 00:00:00') AND (monitor_time < '2026-03-04 00:00:00')) GROUP BY appId, appType, appVersion, channel, clientOsName, dataCenterId, dataSource, envId, moduleName, pageId, pageName, sdkVersion, subModuleName, userGroupId', required columns: 'env_id' 'monitor_time' 'account_id' 'app_type' 'module_name' 'app_id' 'data_source' 'client_os_name' 'app_version' 'channel' 'data_center_id' 'page_id' 'on_ready_time_max' 'sdk_version' 'page_name' 'sub_module_name' 'user_group_id', maybe you meant: 'env_id', 'monitor_time', 'account_id', 'app_type', 'module_name', 'app_id', 'data_source', 'client_os_name', 'app_version', 'channel', 'data_center_id', 'page_id', 'on_ready_time', 'sdk_version', 'page_name', 'sub_module_name' or 'user_group_id'",Product defects,failed
25,965aa9e0715921f7,testMetricFunctionDimension,one.infrastructure.host.agent.heartState,frm,"dataCenterId, hostDetectedName, hostId, networkZoneId, operatingSystemType, operatingSystemVersion, virtualization","指标 [one.infrastructure.host.agent.heartState] 支持函数 [frm]，但执行失败: SQL执行失败: query error code: 386, message: There is no supertype for types String, UInt8 because some of them are String/FixedString/Enum and some of them are not: while executing 'FUNCTION equals(account_id : 1, 4 : 11) -> equals(account_id, 4) UInt8 : 15'",Product defects,failed
26,824b53fa5856bd29,testMetricFunctionDimension,one.rum.net.custom.mtest0,avg,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest0] 支持函数 [avg]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
27,b117ba0fd76d9ea,testMetricFunctionDimension,one.rum.net.custom.mtest0,max,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest0] 支持函数 [max]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
28,b0cacc128c8d867,testMetricFunctionDimension,one.rum.net.custom.mtest0,min,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest0] 支持函数 [min]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
29,8aaa99392f1c590d,testMetricFunctionDimension,one.rum.net.custom.mtest0,last,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest0] 支持函数 [last]，但执行失败: SQL执行失败: syntax error at position 25 near 'net',Product defects,failed
30,e1f096800f5d3242,testMetricFunctionDimension,one.rum.net.custom.mtest3,avg,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest3] 支持函数 [avg]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
31,c48232e2f42606e3,testMetricFunctionDimension,one.rum.net.custom.mtest3,max,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest3] 支持函数 [max]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
32,e4d7657ef1bdf0e3,testMetricFunctionDimension,one.rum.net.custom.mtest3,min,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest3] 支持函数 [min]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
33,aba2a489b2593694,testMetricFunctionDimension,one.rum.net.custom.mtest3,last,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest3] 支持函数 [last]，但执行失败: SQL执行失败: syntax error at position 25 near 'net',Product defects,failed
34,ad416cd55e1f1134,testMetricFunctionDimension,one.rum.net.custom.mtest14,avg,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest14] 支持函数 [avg]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
35,c026ab908a4c74ef,testMetricFunctionDimension,one.rum.net.custom.mtest14,max,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest14] 支持函数 [max]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
36,ef6013c79cfc6f03,testMetricFunctionDimension,one.rum.net.custom.mtest14,min,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest14] 支持函数 [min]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
37,be20c9797223b452,testMetricFunctionDimension,one.rum.net.custom.mtest14,last,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest14] 支持函数 [last]，但执行失败: SQL执行失败: syntax error at position 25 near 'net',Product defects,failed
38,3ff7ae74ac5cce89,testMetricFunctionDimension,one.rum.net.custom.mtest15,avg,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest15] 支持函数 [avg]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
39,6331bb51c38dc6bf,testMetricFunctionDimension,one.rum.net.custom.mtest15,max,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest15] 支持函数 [max]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
40,cf62a9b0d9ae6936,testMetricFunctionDimension,one.rum.net.custom.mtest15,min,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest15] 支持函数 [min]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
41,4e9295e61d44961b,testMetricFunctionDimension,one.rum.net.custom.mtest15,last,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process, requestId, sdkVersion, subModuleName, test3000-28--, url, userGroupId",指标 [one.rum.net.custom.mtest15] 支持函数 [last]，但执行失败: SQL执行失败: syntax error at position 25 near 'net',Product defects,failed
42,5419f8ab2d98e707,testMetricFunctionDimension,one.rum.net.custom.cxj123mtest,max,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid111, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process111, requestId, sdkVersion, subModuleName, test3000-28--111, url, userGroupId",指标 [one.rum.net.custom.cxj123mtest] 支持函数 [max]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
43,172ee626418b42dc,testMetricFunctionDimension,one.rum.net.custom.cxj123mtest,avg,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid111, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process111, requestId, sdkVersion, subModuleName, test3000-28--111, url, userGroupId",指标 [one.rum.net.custom.cxj123mtest] 支持函数 [avg]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
44,e4725799eab1c394,testMetricFunctionDimension,one.rum.net.custom.cxj123mtest,min,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid111, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process111, requestId, sdkVersion, subModuleName, test3000-28--111, url, userGroupId",指标 [one.rum.net.custom.cxj123mtest] 支持函数 [min]，但执行失败: SQL执行失败: syntax error at position 24 near 'net',Product defects,failed
45,c7fd75d966df47dc,testMetricFunctionDimension,one.rum.net.custom.cxj123mtest,last,"accessModelId, appId, appVersion, channel, cityId, clientDeviceName, clientOSName, connectid111, countryId, customRequestStatus, customRequestStatusCode, customRequestType, dataCenterId, districtId, moduleName, netserviceId, parentRequestId, parentUrl, process111, requestId, sdkVersion, subModuleName, test3000-28--111, url, userGroupId",指标 [one.rum.net.custom.cxj123mtest] 支持函数 [last]，但执行失败: SQL执行失败: syntax error at position 25 near 'net',Product defects,failed
46,8d512776bbce9c72,testMetricFunctionDimension,input_flow,last,dataType,指标 [input_flow] 支持函数 [last]，但执行失败: SQL执行失败: column [input_flow] datatype is blank,Product defects,failed
47,6a1efa4acb675b9a,testMetricFunctionDimension,input_flow,sum,dataType,指标 [input_flow] 支持函数 [sum]，但执行失败: SQL执行失败: column [input_flow] datatype is blank,Product defects,failed
